koordinat_y,periode_data,wilayah,kecamatan,kelurahan,nama_halte,lokasi,koordinat_x
106.81992,2024,Kota Adm. Jakarta Pusat,Gambir,Gambir,Harmoni,Jalan Hayam Wuruk,-6.162687
106.818661,2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Sawah Besar,Jalan Hayam Wuruk,-6.157368
106.850673,2024,Kota Adm. Jakarta Selatan,Tebet,Tebet,Timur St. Manggarai,Jalan Manggarai Utara II,-6.209745
106.8558651,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Jakarta International Stadium,Jalan Danau Sunter Utara,-6.126689
106.817536,2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Mangga Besar,Jalan Gajah Mada,-6.15325
106.871143,2024,Kota Adm. Jakarta Timur,Cawang,Kramat Jati,Cawang,Jalan Letnan Jenderal MT Haryono,-6.245863
106.81669,2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Taman Sari,Jalan Hayam Wuruk,-6.1493
106.815136,2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Glodok,Jalan Hayam Wuruk,-6.143393
106.814904,2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Kota,Jalan Gajah Mada,-6.13679
106.823381,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Galunggung,Jalan Galunggung,-6.204399
106.975764,2024,Kota Bekasi,Tarumajaya,Pusakarakyat,Transera Harapan Indah,Jalan Boulevard Harapan Indah,-6.152257
106.8521885,2024,Kota Adm. Jakarta Pusat,Senen,Senen,Tanah Tinggi,Jalan Tanah Tinggi Barat,-6.171373
106.85699,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Danau Sunter,Jalan Danau Sunter Barat,-6.14121
106.85515,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Jembatan Item,Jalan Danau Sunter Utara,-6.13098
106.85151,2024,Kota Adm. Jakarta Pusat,Kemayoran,Kemayoran,Kemayoran,Jalan Benyamin Sueb,-6.15889
106.815283,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Bendungan Hilir,Jalan Jenderal Sudirman,-6.217137
106.832245,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Rasuna Said,Jalan Hajjah R. Rasuna Said,-6.221618
106.789705,2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Grogol,Jalan Kyai Tapa,-6.166824
106.78818,2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Grogol Reformasi,Jalan S Parman,-6.16717
106.832367,2024,Kota Adm. Jakarta Utara,Pademangan,Pademangan,Gunung Sahari,Jalan Gunung Sahari Raya,-6.136817
106.833383,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Halimun,Jalan Galunggung,-6.205137
106.828078,2024,Kota Adm. Jakarta Selatan,Pancoran,Pancoran,Warung Buncit,Jalan Haji Tutty Alawiyah,-6.256977
106.882268,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Flyover Cipinang,Jalan Haji Darip,-6.214632
106.775143,2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Damai,Jalan Daan Mogot,-6.163376
106.830932,2024,Kota Adm. Jakarta Pusat,Gambir,Sawah Besar,Istiqlal,Jalan Perwira,-6.172252
106.81105,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Transjakarta Tanah Abang 1,Jalan Jatibaru,-6.185496
106.826264,2024,Kota Adm. Jakarta Selatan,Pasar Minggu,Pasar Minggu,Jati Padang,Jalan Warung Jati Barat,-6.285431
106.868071,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Jatinegara,Jalan Jatinegara Timur,-6.221412
106.786505,2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Jelambar,Jalan Daan Mogot,-6.166548
106.730378,2024,Kota Adm. Jakarta Barat,Cengkareng,Cengkareng,Jembatan Baru,Jalan Daan Mogot,-6.154831
106.794901,2024,Kota Adm. Jakarta Barat,Tambora,Tambora,Jembatan Besi,Jalan Profesor Doktor Latumeten,-6.152005
106.793516,2024,Kota Adm. Jakarta Barat,Tambora,Tambora,Jembatan Dua,Jalan Jembatan Dua Flyover,-6.143279
106.749464,2024,Kota Adm. Jakarta Barat,Cengkareng,Cengkareng,Jembatan Gantung,Jalan Daan Mogot,-6.155513
106.834274,2024,Kota Adm. Jakarta Pusat,Sawah Besar,Sawah Besar,Jembatan Merah,Jalan Gunung Sahari Raya,-6.146731
106.792666,2024,Kota Adm. Jakarta Utara,Penjaringan,Penjaringan,Jembatan Tiga,Jalan Jembatan Tiga Raya,-6.133383
106.848645,2024,Kota Adm. Jakarta Utara,Pademangan,Pademangan,JIEXPO Kemayoran,Jalan Pesanggrahan Raya,-6.144845
106.75488,2024,Kota Adm. Jakarta Selatan,Pesanggrahan,Pesanggrahan,JORR,Jalan Ciledug Raya,-6.236104
106.830885,2024,Kota Adm. Jakarta Pusat,Sawah Besar,Sawah Besar,Juanda,Jalan Insinyur Haji Juanda,-6.168048
106.811432,2024,Kota Adm. Jakarta Barat,Tambora,Tambora,Kali Besar,Jalan Kali Besar Timur,-6.135355
106.705503,2024,Kota Adm. Jakarta Barat,Kalideres,Kalideres,Kalideres,Jalan Madrasah Raya,-6.154412
106.866821,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Kampung Melayu,Jalan Jenderal Basuki Rahmat,-6.224673
106.882155,2024,Kota Adm. Jakarta Timur,Ciracas,Rambutan,Kampung Rambutan,Jalan Terminal Kampung Rambutan,-6.309885
106.911885,2024,Kota Adm. Jakarta Timur,Duren Sawit,Duren Sawit,Kampung Sumur,Jalan I Gusti Ngurah Rai,-6.214412
106.830737,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Karet Kuningan,Jalan Hajjah R. Rasuna Said,-6.21667
106.810279,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Polda Metro Jaya,Jalan Jenderal Sudirman,-6.221094
106.875417,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Cempaka Putih,Kayu Putih Rawasari,Jalan Ahmad Yani,-6.187453
106.777515,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Kebayoran Lama,Jalan Ciledug Raya,-6.23834
106.781642,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Bungur,Jalan Sultan Iskandar Muda,-6.252688
106.768874,2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Kebon Jeruk,Jalan Panjang Raya,-6.194311
106.861152,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Matraman Baru,Jalan Matraman,-6.21288
106.765854,2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Kedoya Panjang,Jalan Panjang Raya,-6.174495
106.763013,2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Kedoya,Jalan Panjang Raya,-6.164435
106.769526,2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Kelapa Dua Sasak,Jalan Panjang Raya,-6.205551
106.854238,2024,Kota Adm. Jakarta Utara,Pademangan,Pademangan,Landasan Pacu,Jalan Haji Bagindo Rajo Motik,-6.152181
106.82162,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Denpasar Arah Timur,Jalan Gatot Subroto,-6.232602
106.973352,2024,Kota Bekasi,Medan Satria,Medansatria,Kota Harapan Indah 1,Jalan Sultan Agung,-6.193598
106.973564,2024,Kota Bekasi,Medan Satria,Medansatria,Kota Harapan Indah 2,Jalan Sultan Agung,-6.193912
106.845951,2024,Kota Adm. Jakarta Pusat,Senen,Senen,Kramat Sentiong,Jalan Kramat Raya,-6.18798
106.82794,2024,Kota Adm. Jakarta Selatan,Setiabudi,Mampang Prapatan,Simpang Kuningan,Jalan Gatot Subroto,-6.23725
106.830472,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Kuningan Madya,Jalan Hajjah R. Rasuna Said,-6.213414
106.829015,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Underpass Kuningan,Jalan Hajjah R. Rasuna Said,-6.234731
106.83866,2024,Kota Adm. Jakarta Pusat,Senen,Senen,Kwitang,Jalan Prajurit Kko Usman & Harun,-6.181051
106.799714,2024,Kota Adm. Jakarta Utara,Penjaringan,Penjaringan,Pluit Selatan,Jalan Pluit Selatan Raya,-6.125258
106.827706,2024,Kota Adm. Jakarta Pusat,Menteng,Menteng,Flyover Kuningan,Jalan Purworejo,-6.202761
106.822084,2024,Kota Adm. Jakarta Selatan,Mampang Prapatan,Mampang Prapatan,Denpasar Arah Barat,Jalan Jenderal Gatot Subroto,-6.233551
106.8174,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Widya Chandra Telkomsel Arah Timur,Jalan Gatot Subroto,-6.226549
106.89909,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Layur,Jalan Pemuda,-6.193539
