periode_data,tahun,lokasi_persimpangan,jenis_lampu,jumlah
2014,2014,Lampu Lalu Lintas Traffic Controller Sistem I,lampu lalu lintas atcs,0
2014,2014,Lampu Lalu Lintas Traffic Controller Sistem II,lampu lalu lintas atcs,0
2014,2014,Lampu Lalu Lintas Traffic Controller Sistem III,lampu lalu lintas atcs,0
2014,2014,Lampu Lalu Lintas Terintegrasi ITS,lampu lalu lintas atcs,37
2014,2014,Lampu Lalu Lintas Traffic Controller Sistem I,lampu lalu lintas atcs,0
2014,2014,Lampu Lalu Lintas Traffic Controller Sistem II,lampu lalu lintas atcs,0
2014,2014,Lampu Lalu Lintas Traffic Controller Sistem III,lampu lalu lintas atcs,0
2014,2014,Lampu Lalu Lintas Terintegrasi ITS,lampu lalu lintas atcs,37
2014,2014,Lampu Lalu Lintas Traffic Controller Sistem I,lampu penyebrangan,3
2014,2014,Lampu Lalu Lintas Traffic Controller Sistem II,lampu penyebrangan,22
2014,2014,Lampu Lalu Lintas Traffic Controller Sistem III,lampu penyebrangan,5
2014,2014,Lampu Lalu Lintas Terintegrasi ITS,lampu penyebrangan,0
2014,2014,Lampu Lalu Lintas Traffic Controller Sistem I,lampu kedip,15
2014,2014,Lampu Lalu Lintas Traffic Controller Sistem II,lampu kedip,61
2014,2014,Lampu Lalu Lintas Traffic Controller Sistem III,lampu kedip,25
2014,2014,Lampu Lalu Lintas Terintegrasi ITS,lampu kedip,0
