Period,Region,District,Sub_District,Halte_Name,Location,Longitude,Latitude
2024,Kota Adm. Jakarta Pusat,Gambir,Gambir,Harmoni,Jalan Hayam Wuruk,106.81992,-6.162687
2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Sawah Besar,Jalan Hayam Wuruk,106.818661,-6.157368
2024,Kota Adm. Jakarta Selatan,Tebet,Tebet,Timur St. Manggarai,Jalan Manggarai Utara II,106.850673,-6.209745
2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Jakarta International Stadium,Jalan Danau Sunter Utara,106.8558651,-6.126689
2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Mangga Besar,Jalan Gajah Mada,106.817536,-6.15325
2024,Kota Adm. Jakarta Timur,Cawang,Kramat Jati,Cawang,Jalan Letnan Jenderal MT Haryono,106.871143,-6.245863
2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Taman Sari,Jalan Hayam Wuruk,106.81669,-6.1493
2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Glodok,Jalan Hayam Wuruk,106.815136,-6.143393
2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Kota,Jalan Gajah Mada,106.814904,-6.13679
2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Galunggung,Jalan Galunggung,106.823381,-6.204399
2024,Kota Bekasi,Tarumajaya,Pusakarakyat,Transera Harapan Indah,Jalan Boulevard Harapan Indah,106.975764,-6.152257
2024,Kota Adm. Jakarta Pusat,Senen,Senen,Tanah Tinggi,Jalan Tanah Tinggi Barat,106.8521885,-6.171373
2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Danau Sunter,Jalan Danau Sunter Barat,106.85699,-6.14121
2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Jembatan Item,Jalan Danau Sunter Utara,106.85515,-6.13098
2024,Kota Adm. Jakarta Pusat,Kemayoran,Kemayoran,Kemayoran,Jalan Benyamin Sueb,106.85151,-6.15889
2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Bendungan Hilir,Jalan Jenderal Sudirman,106.815283,-6.217137
2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Rasuna Said,Jalan Hajjah R. Rasuna Said,106.832245,-6.221618
2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Grogol,Jalan Kyai Tapa,106.789705,-6.166824
2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Grogol Reformasi,Jalan S Parman,106.78818,-6.16717
2024,Kota Adm. Jakarta Utara,Pademangan,Pademangan,Gunung Sahari,Jalan Gunung Sahari Raya,106.832367,-6.136817
2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Halimun,Jalan Galunggung,106.833383,-6.205137
2024,Kota Adm. Jakarta Selatan,Pancoran,Pancoran,Warung Buncit,Jalan Haji Tutty Alawiyah,106.828078,-6.256977
2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Flyover Cipinang,Jalan Haji Darip,106.882268,-6.214632
2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Damai,Jalan Daan Mogot,106.775143,-6.163376
2024,Kota Adm. Jakarta Pusat,Gambir,Sawah Besar,Istiqlal,Jalan Perwira,106.830932,-6.172252
2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Transjakarta Tanah Abang 1,Jalan Jatibaru,106.81105,-6.185496
2024,Kota Adm. Jakarta Selatan,Pasar Minggu,Pasar Minggu,Jati Padang,Jalan Warung Jati Barat,106.826264,-6.285431
2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Jatinegara,Jalan Jatinegara Timur,106.868071,-6.221412
2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Jelambar,Jalan Daan Mogot,106.786505,-6.166548
2024,Kota Adm. Jakarta Barat,Cengkareng,Cengkareng,Jembatan Baru,Jalan Daan Mogot,106.730378,-6.154831
2024,Kota Adm. Jakarta Barat,Tambora,Tambora,Jembatan Besi,Jalan Profesor Doktor Latumeten,106.794901,-6.152005
2024,Kota Adm. Jakarta Barat,Tambora,Tambora,Jembatan Dua,Jalan Jembatan Dua Flyover,106.793516,-6.143279
2024,Kota Adm. Jakarta Barat,Cengkareng,Cengkareng,Jembatan Gantung,Jalan Daan Mogot,106.749464,-6.155513
2024,Kota Adm. Jakarta Pusat,Sawah Besar,Sawah Besar,Jembatan Merah,Jalan Gunung Sahari Raya,106.834274,-6.146731
2024,Kota Adm. Jakarta Utara,Penjaringan,Penjaringan,Jembatan Tiga,Jalan Jembatan Tiga Raya,106.792666,-6.133383
2024,Kota Adm. Jakarta Utara,Pademangan,Pademangan,JIEXPO Kemayoran,Jalan Pesanggrahan Raya,106.848645,-6.144845
2024,Kota Adm. Jakarta Selatan,Pesanggrahan,Pesanggrahan,JORR,Jalan Ciledug Raya,106.75488,-6.236104
2024,Kota Adm. Jakarta Pusat,Sawah Besar,Sawah Besar,Juanda,Jalan Insinyur Haji Juanda,106.830885,-6.168048
2024,Kota Adm. Jakarta Barat,Tambora,Tambora,Kali Besar,Jalan Kali Besar Timur,106.811432,-6.135355
2024,Kota Adm. Jakarta Barat,Kalideres,Kalideres,Kalideres,Jalan Madrasah Raya,106.705503,-6.154412
2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Kampung Melayu,Jalan Jenderal Basuki Rahmat,106.866821,-6.224673
2024,Kota Adm. Jakarta Timur,Ciracas,Rambutan,Kampung Rambutan,Jalan Terminal Kampung Rambutan,106.882155,-6.309885
2024,Kota Adm. Jakarta Timur,Duren Sawit,Duren Sawit,Kampung Sumur,Jalan I Gusti Ngurah Rai,106.911885,-6.214412
2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Karet Kuningan,Jalan Hajjah R. Rasuna Said,106.830737,-6.21667
2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Polda Metro Jaya,Jalan Jenderal Sudirman,106.810279,-6.221094
2024,Kota Adm. Jakarta Timur,Pulo Gadung,Cempaka Putih,Kayu Putih Rawasari,Jalan Ahmad Yani,106.875417,-6.187453
2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Kebayoran Lama,Jalan Ciledug Raya,106.777515,-6.23834
2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Bungur,Jalan Sultan Iskandar Muda,106.781642,-6.252688
2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Kebon Jeruk,Jalan Panjang Raya,106.768874,-6.194311
2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Matraman Baru,Jalan Matraman,106.861152,-6.21288
2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Kedoya Panjang,Jalan Panjang Raya,106.765854,-6.174495
2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Kedoya,Jalan Panjang Raya,106.763013,-6.164435
2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Kelapa Dua Sasak,Jalan Panjang Raya,106.769526,-6.205551
2024,Kota Adm. Jakarta Utara,Pademangan,Pademangan,Landasan Pacu,Jalan Haji Bagindo Rajo Motik,106.854238,-6.152181
2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Denpasar Arah Timur,Jalan Gatot Subroto,106.82162,-6.232602
2024,Kota Bekasi,Medan Satria,Medansatria,Kota Harapan Indah 1,Jalan Sultan Agung,106.973352,-6.193598
