Year,Month,Day,Hour,DateTime,Location,Weather,Predicted_Volume,LOS,LOS_Description
2025,3,15,8,2025-03-15 08:00:00,Sudirman-Thamrin,clear,71.09,D,Approaching Unstable (60-75) - Padat
2025,3,15,8,2025-03-15 08:00:00,Harmoni,clear,70.79,D,Approaching Unstable (60-75) - Padat
2025,3,15,8,2025-03-15 08:00:00,Semanggi,clear,70.86,D,Approaching Unstable (60-75) - Padat
2025,3,15,8,2025-03-15 08:00:00,Kuningan,clear,71.82,D,Approaching Unstable (60-75) - Padat
2025,3,15,8,2025-03-15 08:00:00,Tol Dalam Kota,clear,71.82,D,Approaching Unstable (60-75) - Padat
2025,3,15,8,2025-03-15 08:00:00,Tol Jagorawi,clear,71.82,D,Approaching Unstable (60-75) - Padat
2025,3,15,8,2025-03-15 08:00:00,Tol JORR,clear,71.82,D,Approaching Unstable (60-75) - Padat
2025,3,15,8,2025-03-15 08:00:00,Bekasi-Cawang,clear,71.82,D,Approaching Unstable (60-75) - Padat
2025,3,15,8,2025-03-15 08:00:00,Cibubur-Cililitan,clear,71.82,D,Approaching Unstable (60-75) - Padat
2025,3,15,8,2025-03-15 08:00:00,Tangerang-Kamal,clear,71.82,D,Approaching Unstable (60-75) - Padat
2025,3,15,8,2025-03-15 08:00:00,Bogor-Ciawi,clear,71.82,D,Approaching Unstable (60-75) - Padat
