Period,Bus_Type,Route
2014,Bus Sedang Reguler,Terminal Blok M - Cipedak
2014,Bus Sedang Reguler,Terminal Senen - Muara Angke(pluit)
2014,Bus Sedang Reguler,Terminal Kp. Melayu - Bogor
2014,Bus Sedang Reguler,Terminal Kp. Rambutan - Lebak Bulus
2014,Bus Sedang Reguler,Terminal Tn. Abang - Kp. Melayu
2014,Bus Sedang Reguler,Terminal Pulogadung - Terminal Pulogebang ( Via PIK)
2014,Bus Sedang Reguler,Rawamangun - PuloGebang
2014,Bus Sedang Reguler,PIK - Monas
2014,Bus Besar Reguler,Term. Grogol - Term. Rawamangun
2014,Bus Besar Reguler,Term. Grogol - Term. Pulo Gadung
2014,Bus Besar Reguler,Term. Rawamangun - Term. Lebak Bulus
2014,Bus Besar Reguler,Term. Grogol - Term. Kp. Melayu
2014,Bus Besar Reguler,Term. Kp. Rambutan - Harmoni
2014,Bus Besar Reguler,Term. Pulo Gadung - Tanah Abang
2014,Bus Besar Reguler,Term. Pulo Gadung - Term. Blok M
2014,Bus Besar Reguler,Term. Kp. Rambutan - Kota (Jl. Lada)
2014,Bus Besar Reguler,Term. Kp. Rambutan - Term. Pulo Gadung
2014,Bus Besar Reguler,Terminal Cililitan - Harmoni
2014,Transjakarta Antar Koridor,Grogol - TU Gas via Roxy
2014,Transjakarta Antar Koridor,TU Gas - Lebak Bulus 
2014,Transjakarta Antar Koridor,Palmerah - Sudirman
2014,Transjakarta Antar Koridor,Lebak bulus ? Kota
2014,Transjakarta Antar Koridor,Grogol - TMII
2014,Transjakarta Antar Koridor,Kebayoraan - Grogol
2014,Transjakarta Antar Koridor,Tugas - Bunsen
2014,Transjakarta Antar Koridor,Lebak Bulus  - Senen
2014,Transjabodetabek,Bekasi Harapan Indah - ASMI
2014,Transjabodetabek,Bekasi Barat  - HI
2014,Transjabodetabek,Bekasi Barat - Tg. Priok
2014,Transjabodetabek,Bekasi Timur - Pasar Baru
2014,Transjabodetabek,Bekasi Timur - Grogol
2014,Transjabodetabek,Tangerang Poris - Pasar Baru
2014,Transjabodetabek,Tangerang Poris - Bunsen
2014,Transjabodetabek,Tangerang Serpong - Grogol
2014,Transjabodetabek,Ciputat - HI
2014,Transjabodetabek,Depok Margonda - UKI
2014,Transjabodetabek,Ciputat - Kp. Rambutan
2014,Transjabodetabek,Cikarang - Blok M
2014,Transjabodetabek,Sumarecon Serpong - Bunsen
2014,Transjabodetabek,Bekasi Grand Wisata - HI
2014,Transjabodetabek,Depok - Lebak Bulus
2014,Transjabodetabek,Bogor - UKI
2014,Transjabodetabek,Cibinong - Kp. Rambutan
2014,Transjabodetabek,Ciledug - Tandean
2014,Transjabodetabek,Cileungsi - Blok M
2014,Transjabodetabek,Depok Jati Jajar - Cawang UKI
2014,Transjabodetabek,Bekasi - Kp. Melayu
2014,Transjabodetabek,Cibinong - Grogol
2014,Transjabodetabek,Bintaro - Blok M
2014,Koridor Busway,Blok M - Kota (P. Ranti - Kota)
2014,Koridor Busway,Harmoni - Pulo Gadung
2014,Koridor Busway,Kalideres - Ps. Baru
