datetime,date,hour,weather,temperature_c,humidity_percent
2024-01-01 00:00:00,2024-01-01,0,cloudy,22.8,63.9
2024-01-01 01:00:00,2024-01-01,1,clear,25.0,77.2
2024-01-01 02:00:00,2024-01-01,2,partly_cloudy,25.1,73.0
2024-01-01 03:00:00,2024-01-01,3,clear,22.6,77.2
2024-01-01 04:00:00,2024-01-01,4,partly_cloudy,30.7,78.8
2024-01-01 05:00:00,2024-01-01,5,clear,22.0,72.1
2024-01-01 06:00:00,2024-01-01,6,cloudy,31.4,87.3
2024-01-01 07:00:00,2024-01-01,7,clear,27.2,80.4
2024-01-01 08:00:00,2024-01-01,8,clear,26.5,63.5
2024-01-01 09:00:00,2024-01-01,9,clear,29.8,75.9
2024-01-01 10:00:00,2024-01-01,10,clear,29.4,76.8
2024-01-01 11:00:00,2024-01-01,11,clear,34.6,69.3
2024-01-01 12:00:00,2024-01-01,12,partly_cloudy,35.0,72.6
2024-01-01 13:00:00,2024-01-01,13,light_rain,32.5,86.9
2024-01-01 14:00:00,2024-01-01,14,clear,30.5,84.9
2024-01-01 15:00:00,2024-01-01,15,moderate_rain,31.5,86.7
2024-01-01 16:00:00,2024-01-01,16,cloudy,28.5,75.1
2024-01-01 17:00:00,2024-01-01,17,moderate_rain,30.9,89.0
2024-01-01 18:00:00,2024-01-01,18,light_rain,29.8,73.6
2024-01-01 19:00:00,2024-01-01,19,clear,29.2,82.2
2024-01-01 20:00:00,2024-01-01,20,partly_cloudy,30.5,67.9
2024-01-01 21:00:00,2024-01-01,21,clear,26.7,79.4
2024-01-01 22:00:00,2024-01-01,22,cloudy,27.0,72.7
2024-01-01 23:00:00,2024-01-01,23,partly_cloudy,24.3,68.3
2024-01-02 00:00:00,2024-01-02,0,clear,26.3,85.0
2024-01-02 01:00:00,2024-01-02,1,clear,27.7,77.3
2024-01-02 02:00:00,2024-01-02,2,partly_cloudy,29.0,75.2
2024-01-02 03:00:00,2024-01-02,3,clear,29.2,86.7
2024-01-02 04:00:00,2024-01-02,4,clear,27.3,81.5
2024-01-02 05:00:00,2024-01-02,5,partly_cloudy,26.1,83.6
2024-01-02 06:00:00,2024-01-02,6,partly_cloudy,31.3,65.1
2024-01-02 07:00:00,2024-01-02,7,clear,28.6,88.2
2024-01-02 08:00:00,2024-01-02,8,partly_cloudy,29.3,89.2
2024-01-02 09:00:00,2024-01-02,9,clear,28.0,87.5
2024-01-02 10:00:00,2024-01-02,10,partly_cloudy,31.3,84.1
2024-01-02 11:00:00,2024-01-02,11,clear,31.4,81.4
2024-01-02 12:00:00,2024-01-02,12,light_rain,32.6,81.6
2024-01-02 13:00:00,2024-01-02,13,partly_cloudy,34.2,70.4
2024-01-02 14:00:00,2024-01-02,14,moderate_rain,32.1,93.3
2024-01-02 15:00:00,2024-01-02,15,moderate_rain,35.0,97.2
2024-01-02 16:00:00,2024-01-02,16,clear,32.0,85.8
2024-01-02 17:00:00,2024-01-02,17,clear,27.8,76.5
2024-01-02 18:00:00,2024-01-02,18,clear,30.6,68.4
2024-01-02 19:00:00,2024-01-02,19,clear,26.9,71.9
2024-01-02 20:00:00,2024-01-02,20,partly_cloudy,31.4,82.6
2024-01-02 21:00:00,2024-01-02,21,partly_cloudy,27.8,60.0
2024-01-02 22:00:00,2024-01-02,22,clear,27.4,91.0
2024-01-02 23:00:00,2024-01-02,23,clear,26.2,75.3
2024-01-03 00:00:00,2024-01-03,0,clear,23.2,77.5
2024-01-03 01:00:00,2024-01-03,1,partly_cloudy,27.2,67.3
2024-01-03 02:00:00,2024-01-03,2,partly_cloudy,25.5,79.4
2024-01-03 03:00:00,2024-01-03,3,clear,28.7,84.4
2024-01-03 04:00:00,2024-01-03,4,partly_cloudy,28.3,95.6
2024-01-03 05:00:00,2024-01-03,5,partly_cloudy,28.1,78.5
2024-01-03 06:00:00,2024-01-03,6,clear,26.9,76.6
2024-01-03 07:00:00,2024-01-03,7,clear,26.7,74.5
2024-01-03 08:00:00,2024-01-03,8,partly_cloudy,27.0,73.8
2024-01-03 09:00:00,2024-01-03,9,clear,25.8,73.6
2024-01-03 10:00:00,2024-01-03,10,partly_cloudy,31.0,86.5
2024-01-03 11:00:00,2024-01-03,11,clear,29.7,72.6
2024-01-03 12:00:00,2024-01-03,12,partly_cloudy,29.9,72.0
2024-01-03 13:00:00,2024-01-03,13,clear,27.7,83.0
2024-01-03 14:00:00,2024-01-03,14,partly_cloudy,35.0,62.6
2024-01-03 15:00:00,2024-01-03,15,partly_cloudy,32.3,72.3
2024-01-03 16:00:00,2024-01-03,16,light_rain,29.9,87.0
2024-01-03 17:00:00,2024-01-03,17,partly_cloudy,27.9,60.0
2024-01-03 18:00:00,2024-01-03,18,partly_cloudy,26.8,86.4
2024-01-03 19:00:00,2024-01-03,19,clear,28.0,87.0
2024-01-03 20:00:00,2024-01-03,20,clear,24.9,66.6
2024-01-03 21:00:00,2024-01-03,21,partly_cloudy,26.0,98.9
2024-01-03 22:00:00,2024-01-03,22,clear,25.4,61.2
2024-01-03 23:00:00,2024-01-03,23,clear,24.2,67.5
2024-01-04 00:00:00,2024-01-04,0,partly_cloudy,24.7,71.4
2024-01-04 01:00:00,2024-01-04,1,cloudy,26.3,68.6
2024-01-04 02:00:00,2024-01-04,2,clear,23.7,74.2
2024-01-04 03:00:00,2024-01-04,3,partly_cloudy,25.8,83.7
2024-01-04 04:00:00,2024-01-04,4,partly_cloudy,29.4,68.5
2024-01-04 05:00:00,2024-01-04,5,cloudy,22.5,73.7
2024-01-04 06:00:00,2024-01-04,6,clear,25.8,60.8
2024-01-04 07:00:00,2024-01-04,7,clear,29.1,60.0
2024-01-04 08:00:00,2024-01-04,8,partly_cloudy,27.1,71.1
2024-01-04 09:00:00,2024-01-04,9,partly_cloudy,24.9,80.5
2024-01-04 10:00:00,2024-01-04,10,clear,29.2,70.5
2024-01-04 11:00:00,2024-01-04,11,clear,29.0,81.9
2024-01-04 12:00:00,2024-01-04,12,partly_cloudy,33.6,78.7
2024-01-04 13:00:00,2024-01-04,13,light_rain,28.3,90.0
2024-01-04 14:00:00,2024-01-04,14,heavy_rain,30.3,92.9
2024-01-04 15:00:00,2024-01-04,15,clear,30.1,86.1
2024-01-04 16:00:00,2024-01-04,16,clear,29.2,73.0
2024-01-04 17:00:00,2024-01-04,17,light_rain,31.4,87.0
2024-01-04 18:00:00,2024-01-04,18,partly_cloudy,30.3,71.7
2024-01-04 19:00:00,2024-01-04,19,clear,31.1,64.4
2024-01-04 20:00:00,2024-01-04,20,clear,29.8,81.8
2024-01-04 21:00:00,2024-01-04,21,clear,25.8,73.0
2024-01-04 22:00:00,2024-01-04,22,partly_cloudy,27.0,64.9
2024-01-04 23:00:00,2024-01-04,23,clear,25.0,70.4
2024-01-05 00:00:00,2024-01-05,0,clear,25.7,72.9
2024-01-05 01:00:00,2024-01-05,1,clear,22.0,60.0
2024-01-05 02:00:00,2024-01-05,2,cloudy,24.3,60.0
2024-01-05 03:00:00,2024-01-05,3,clear,24.7,71.7
2024-01-05 04:00:00,2024-01-05,4,clear,25.7,77.2
2024-01-05 05:00:00,2024-01-05,5,clear,25.3,78.2
2024-01-05 06:00:00,2024-01-05,6,partly_cloudy,27.6,65.3
2024-01-05 07:00:00,2024-01-05,7,partly_cloudy,27.5,93.2
2024-01-05 08:00:00,2024-01-05,8,partly_cloudy,29.9,78.9
2024-01-05 09:00:00,2024-01-05,9,clear,28.5,89.0
2024-01-05 10:00:00,2024-01-05,10,clear,33.5,66.5
2024-01-05 11:00:00,2024-01-05,11,partly_cloudy,29.6,80.4
2024-01-05 12:00:00,2024-01-05,12,partly_cloudy,29.2,86.7
2024-01-05 13:00:00,2024-01-05,13,partly_cloudy,28.9,76.5
2024-01-05 14:00:00,2024-01-05,14,storm,32.6,84.7
2024-01-05 15:00:00,2024-01-05,15,partly_cloudy,32.7,73.2
2024-01-05 16:00:00,2024-01-05,16,moderate_rain,26.5,87.6
2024-01-05 17:00:00,2024-01-05,17,moderate_rain,30.6,98.2
2024-01-05 18:00:00,2024-01-05,18,light_rain,31.4,78.9
2024-01-05 19:00:00,2024-01-05,19,cloudy,29.5,81.5
2024-01-05 20:00:00,2024-01-05,20,clear,28.5,72.1
2024-01-05 21:00:00,2024-01-05,21,partly_cloudy,26.0,64.2
2024-01-05 22:00:00,2024-01-05,22,clear,27.3,82.2
2024-01-05 23:00:00,2024-01-05,23,partly_cloudy,27.6,77.7
2024-01-06 00:00:00,2024-01-06,0,partly_cloudy,27.1,77.2
2024-01-06 01:00:00,2024-01-06,1,cloudy,22.0,71.1
2024-01-06 02:00:00,2024-01-06,2,partly_cloudy,25.4,72.5
2024-01-06 03:00:00,2024-01-06,3,partly_cloudy,23.8,77.1
2024-01-06 04:00:00,2024-01-06,4,clear,28.0,75.9
2024-01-06 05:00:00,2024-01-06,5,cloudy,24.8,74.4
2024-01-06 06:00:00,2024-01-06,6,clear,28.6,82.9
2024-01-06 07:00:00,2024-01-06,7,clear,28.4,85.5
2024-01-06 08:00:00,2024-01-06,8,clear,23.9,75.7
2024-01-06 09:00:00,2024-01-06,9,partly_cloudy,28.1,88.7
2024-01-06 10:00:00,2024-01-06,10,clear,31.3,69.1
2024-01-06 11:00:00,2024-01-06,11,clear,30.1,69.4
2024-01-06 12:00:00,2024-01-06,12,clear,31.6,73.2
2024-01-06 13:00:00,2024-01-06,13,cloudy,32.0,75.0
2024-01-06 14:00:00,2024-01-06,14,moderate_rain,34.2,95.5
